X397_Dendritic.cells	X261_NK.cells	X607_T.cells	X501_T.cells	X383_Dendritic.cells	X331_Dendritic.cells	X1396_T.cells	X1446_Dendritic.cells	X669_NK.cells	X1129_NK.cells	X766_T.cells	X685_NK.cells	X1433_NK.cells	X349_Dendritic.cells	X1438_NK.cells	X138_T.cells	X285_NK.cells	X297_NK.cells	X123_NK.cells	X380_Dendritic.cells	X128_T.cells	X279_NK.cells	X1239_Dendritic.cells	X698_NK.cells	X65_Dendritic.cells	X378_Dendritic.cells	X1313_Dendritic.cells	X730_NK.cells	X67_Dendritic.cells	X675_NK.cells	X1268_Dendritic.cells	X1481_NK.cells	X870_T.cells	X355_Dendritic.cells	X72_Dendritic.cells	X12_NK.cells	X719_NK.cells	X655_NK.cells	X723_NK.cells	X654_NK.cells	X1418_T.cells	X1412_T.cells	X691_NK.cells	X207_T.cells	X20_Dendritic.cells	X413_Dendritic.cells	X681_NK.cells	X251_NK.cells	X871_T.cells	X663_NK.cells	X1201_Dendritic.cells	X1262_Dendritic.cells	X468_Dendritic.cells	X217_T.cells	X1212_Dendritic.cells	X293_NK.cells	X411_Dendritic.cells	X593_T.cells	X426_Dendritic.cells	X347_Dendritic.cells	X283_NK.cells	X768_T.cells	X1217_Dendritic.cells	X632_T.cells	X455_Dendritic.cells	X439_Dendritic.cells	X456_Dendritic.cells	X263_NK.cells	X1296_Dendritic.cells	X412_Dendritic.cells	X1247_Dendritic.cells	X187_T.cells	X665_NK.cells	X306_NK.cells	X1228_Dendritic.cells	X1225_Dendritic.cells	X296_NK.cells	X294_NK.cells	X718_NK.cells	X373_Dendritic.cells	X613_NK.cells	X302_Dendritic.cells	X674_NK.cells	X850_T.cells	X422_Dendritic.cells	X736_NK.cells	X1216_Dendritic.cells	X1055_NK.cells	X474_Dendritic.cells	X1309_NK.cells	X386_Dendritic.cells	X1331_T.cells	X913_NK.cells	X1213_Dendritic.cells	X706_NK.cells	X679_NK.cells	X449_Dendritic.cells	X1379_T.cells	X1378_T.cells	X1303_Dendritic.cells	X245_Dendritic.cells	X1366_T.cells	X362_Dendritic.cells	X678_NK.cells	X1449_NK.cells	X312_NK.cells	X1435_Dendritic.cells	X1361_T.cells	X358_Dendritic.cells	X28_T.cells	X141_T.cells	X250_NK.cells	X227_NK.cells	X326_Dendritic.cells	X230_NK.cells	X1324_Dendritic.cells	X385_Dendritic.cells	X1437_NK.cells	X428_Dendritic.cells	X105_T.cells	X1223_Dendritic.cells	X838_T.cells	X695_NK.cells	X1436_Dendritic.cells	X1386_T.cells	X239_NK.cells	X391_Dendritic.cells	X13_Dendritic.cells	X368_NK.cells	X687_NK.cells	X708_NK.cells	X1329_T.cells	X260_NK.cells	X1248_Dendritic.cells	X275_NK.cells	X418_NK.cells	X595_T.cells	X811_T.cells	X1294_Dendritic.cells	X647_NK.cells	X605_T.cells	X1447_NK.cells	X337_NK.cells	X733_NK.cells	X661_NK.cells	X538_T.cells	X327_Dendritic.cells	X36_T.cells	X1320_Dendritic.cells	X216_T.cells	X82_Dendritic.cells	X1205_Dendritic.cells	X712_NK.cells	X357_Dendritic.cells	X1300_Dendritic.cells	X845_T.cells	X336_Dendritic.cells	X726_NK.cells	X1282_Dendritic.cells	X107_T.cells	X1066_NK.cells	X1226_Dendritic.cells	X22_NK.cells	X177_T.cells	X1348_T.cells	X206_T.cells	X237_NK.cells	X1221_Dendritic.cells	X495_T.cells	X701_NK.cells	X877_T.cells	X1417_T.cells	X1427_Dendritic.cells	X1288_Dendritic.cells	X1258_Dendritic.cells	X314_NK.cells	X690_NK.cells	X916_NK.cells	X328_Dendritic.cells	X91_Dendritic.cells	X725_NK.cells	X590_T.cells	X1439_NK.cells	X1469_NK.cells	X541_T.cells	X333_Dendritic.cells	X142_T.cells	X1424_T.cells	X648_NK.cells	X857_T.cells	X756_T.cells	X147_T.cells	X354_Dendritic.cells	X241_NK.cells	X752_T.cells	X259_NK.cells	X540_T.cells	X1002_NK.cells	X252_NK.cells	X266_NK.cells
ALB	0	0	2.215956884	0	1.912227145	6.318185295	0	0	2.95757664	0	0	2.12667784	0	8.341043557	0	0	0	0	0	0	6.906271521	0	0	2.797583995	0	0	0	2.97709755	0	5.883381372	0	0	0	3.586266691	0	0	3.894245797	8.652685465	0	8.664491383	0	0	0	5.525445892	0	0	3.199718397	0	0	6.933930599	0	0	8.251990499	0	0	0	8.819520742	2.282444917	7.957494006	0	0	0	0	0	3.772430303	2.163689156	0	0	0	0	0	0	2.098094695	0	0	0	2.868883672	0	3.791518161	0	0	0	5.678312904	0	0	2.617844893	0	0	0	0	6.285646597	0	0	0	2.110436709	8.895975989	11.80185459	0	0	0	0	0	11.0785174	4.07399068	0	0	0	0	5.14554681	6.623482726	1.933670209	0	0	4.382772523	0	0	0	0	10.068292	0	0	1.747591834	0	0	0	0	1.885635921	0	13.51958222	8.915804037	0	0	0	0	0	0	0	0	0	6.096657284	2.752066006	0	9.589765192	2.613793721	4.986723494	7.428212145	3.449782864	0	0	0	0	0	1.804755502	2.750729128	0	0	12.36207613	0	0	1.979979398	0	0	0	0	0	0	0	0	0	2.918284666	0	0	0	0	0	0	0	0	6.580347139	4.116501284	0	2.384868468	0	0	0	7.902453779	4.243102962	0	6.256807817	6.559333956	0	9.980068641	4.087813139	0	0	0	0	0	0	0
CXCL8	9.037231646	0	0	0	11.49478886	0	0	12.04650142	0	2.381647926	0	0	0	0	0	0	0	0	0	0	0	0	2.627747147	2.299400426	0	9.036109598	2.172798576	0	0	0	1.627108431	0	0	13.84715512	0	0	2.826323629	0	0	0	0	0	2.161433687	0	2.885017443	0	0	0	0	0	4.851039203	0	0	0	0	0	0	0	10.56031577	11.14296941	0	0	0	0	0	1.71962846	0	0	0	0	0	0	0	0	0	0	0	0	0	10.04397353	0	0	0	0	0	2.958237445	9.569174724	0	0	0	0	1.796725282	0	9.915785723	0	0	10.79683277	0	0	0	0	0	8.829000378	0	0	0	0	0	0	0	0	0	0	12.02336223	3.132122567	0	0	0	4.745210238	0	0	0	0	0	0	0	0	13.53558565	4.642370111	0	0	0	0	0	0	3.107040501	0	0	0	0	0	0	12.83959706	2.129127146	0	0	9.286759815	0	0	0	0	2.393169689	0	0	0	0	0	0	2.015582823	0	0	0	1.654467814	0	0	0	0	0	0	0	0	0	0	9.176241844	0	0	2.567191445	0	5.377070899	0	0	0	0	1.655181682	2.257650803	2.083096284	0	0	0	0	0	0	3.005499252	0	0	0	0	10.16339698	0	0
CXCL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.525443336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.600448919	0	0	1.95002561	12.06849717	0	0	0	0	0	0	0	0	1.528202408	0	0	0	2.605640152	0	2.596452329	0	0	2.333508036	0	0	0	0	0	0	4.810972558	0	0	0	0	0	0	2.007915585	0	1.703204847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18371209	0	0	0	0	0	0	6.240180377	0	0	0	0	0	0	0
CXCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.873005937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.345010008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.074887978	0	0	0	1.685856873	0	0	0	3.614845035	0	0	0	0	0	0	4.352017741	0	0	0	0	0	13.58228243	0	0	0	0	2.616986039	0	0	0	0	0	0	0	0	9.032258914	0	0	5.112650265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.75929207	0	0	0	12.33290835	0	0	0	0	0	0	0	0	10.22472302	1.477148113	4.727041653	0	0	0	0	0	0	10.39326881	0	0	2.248166613	0	0	0	13.22364698	0	0	0	0	0	0	0	0	11.86699742	0	0	0	0	5.308120507	0	0	0	0	2.239737312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.996812513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EREG	0	0	0	0	0	0	1.195642481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.966057235	0	0	7.347526033	0	0	0	0	0	0.861398261	0	8.089109219	0	0	0	0	0	0	0	0	1.188847097	0	0.556421975	0	0	0	0	0	6.545005896	6.03767575	0	0	0	0	0	0	0	9.835585747	0	0	0	0	0	0	0	0	2.336481608	0	0	0	0	0	0	0	0	0	0	7.305511868	0	0	0	0	0	0	0	0	0	0.9378267	8.473596652	0	0	0	0	0	0	0	0	0	0	0	3.362813399	0	0	0	0	0.960614512	9.967137385	0	0	0	0	0	0	0	0	0	0	0	4.054302622	0	0	0	1.083247985	0	0	0	0	0	0	1.039748661	0	0	0	8.950791626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.433817051	1.36001814	0	0	0	0	1.283380236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.511918934	0	0	0	0	0	7.821974391	0	0	0	0	0	0	0	0	1.021992102	0	0	0	0	0	0	0	0	0	0	0	0
AREG	4.933738547	0	0	6.17946241	0	10.80644356	7.009433779	0	6.916154216	6.719710147	0	0	10.1969982	0	1.737581622	0	6.474155866	3.391232586	3.740022696	0	1.999471127	0	11.4720125	2.678566388	0	11.54298084	10.53587583	0	7.703905518	11.72055661	10.84948909	13.14562084	0	8.279689288	0	7.020701326	10.92443987	0	10.73597146	12.41340231	0	9.960849478	0	0	0.91046529	12.66140091	1.7977769	2.021090956	0	3.14747298	10.34695564	12.28131052	1.721570339	0	0	0	7.230755309	2.172343486	6.932054747	3.807141493	0	0	10.4582985	7.25507073	2.754223166	0	3.576892402	0	12.20451948	7.104009476	0	0	1.992022514	0	11.71510188	11.69866879	3.637346195	0	0	11.62734496	0	0	8.663160383	0	11.41350392	9.223701841	11.38790308	0	6.458825564	4.826976239	12.0731527	2.966308085	5.17504347	9.720650418	11.02780101	10.90541743	0	0	10.06508907	11.77551332	6.75044703	2.716603442	6.936838667	0	3.068171771	2.572006257	12.31152033	0	10.3403437	0	0	2.032350673	0	10.69371043	5.452490944	1.564631348	0	7.024179203	2.938726659	0	10.93824406	9.430546843	0	12.33902581	0	2.049827943	8.283680156	0	0	11.62823141	0	2.790921197	0	10.51363368	3.661658849	10.4792929	5.250664592	0	10.01695899	0	7.145352495	10.14785991	9.266624785	0	9.172214985	0	7.896186704	0	9.553144431	0	0	9.676161818	0	8.416320055	11.07854211	1.640239892	1.879906955	2.010380884	10.08281421	7.555169261	9.171824104	10.5125466	0	3.604282186	1.573650829	0	1.987015821	12.55861898	0	0	1.62699104	9.141848784	12.74516474	10.82786296	9.562514155	0	11.02277367	8.922753811	11.80496202	0	0	0	11.68684975	2.443811202	1.849762819	0	0	8.519823051	0	0	0	1.860420201	0	10.72502644	9.113723019	3.216229767	0	0	8.458675388	0
CXCL9	0	0	0	0	0	0	0	7.383421091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.451724751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.204438386	0	0	0	0	0	0	0	0	0	0	0	0	0	2.614227254	0	0	0	6.493278849	0	0	8.202003283	0	0	0	0	13.94767473	0	0	0	1.878932333	1.554335455	0	0	0	0	0	0	0	0	0	0	0	0	0	7.373658305	0	0	0	5.171447071	0	0	0	1.502751016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.457412577	0	0	0	0	1.532500853	0	0	0	0	0	0	0	0	0	0	0	0	3.122750711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54330226	0	0	0	0	0	9.585266927	0	0	2.785243617	0	0	0	0	0	0	0	0	0	2.859209677	0	0	0	0	0	0	9.705684163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08396504	0	0	0	0	0	0	9.299258508	0	0	0	0	0	0	0	0	0	0	0	12.21672075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.901052133	0	0	0	14.93112678	0	0	0	0	0	0	0	0	4.22293198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.580212792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40545761	0	3.38723943	0	0	0	0	3.253129022	0	0	3.692301552	0	0	9.626377319	0	0	2.841443688	2.397069618	3.570880909	0	0	0	0	0	0	0	12.45589444	0	0	0	0	2.36494581	0	0	0	0	0	0	4.009189807	0	0	2.722840341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL13	0	4.120896405	0	0	0	0	0	0	0	0	14.26292198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.505590886	0	0	0	0	0	0	0	0	2.699011832	0	0	0	0	0	0	2.694838064	0	0	0	0	0	0	0	0	0	0	0	0	13.77888576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39949922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.214075638	0	2.362635877	0	0	0	0	0	0	0	0	0	3.342203954	0	0	0	0	0	0	0	0	0	0	0	0	0	1.894775349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.489120888	0	0	0	0	0	0	0	0	0	0	0	0	0	3.728135317	2.405692521	2.246074377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.158735963	0	2.614963789	2.862490253	0	0	0	11.77920498	0	0	0	0	0
IL15	0	0	0	0	0	0	8.756263206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.649209345	0	0	0	0	5.550863406	0	0	0	0	6.944540934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.482843624	0	0	0	0	2.870317154	0	0	0	0	7.265752339	0	0	0	6.430678618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.935646281	0	0	0	7.596351193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.039232203	0	0	0	3.430578826	7.65519381	0	0	0	0	0	0	0	0	0	8.036167095	0	0	0	0	0	0	1.214015571	0	0	0	0	6.580250199	0	0	0	5.17434849	0	0	0	6.80756289	0	7.517083199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.437478833	0	0	0	0	0	0	0	5.664565688	0	0	0	3.072268345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.911609281	0	0	0	7.754008061
TLR2	6.72122087	0	0	0	7.145334482	0	0	8.706728041	0	0	0	0	0	8.69006909	0	0	1.918987474	0	0	4.075103116	0	0	8.099454248	0	4.361045507	6.309103501	0	0	0	0	6.17374164	0	0	7.98710971	8.443867545	0.843765163	0	0	0	0	0	0	0	0	0.71388648	0	0	0	0	0	8.171968877	7.868860774	6.085310639	0	8.408467438	0	0	0	0	6.168920672	0	0	7.730019562	0	7.358629686	6.368266765	7.806069516	0	9.255699717	9.409824306	0.989518833	0	1.663284539	0	5.933150534	7.426150584	2.368603979	0	0	0	0	8.67797211	0	0	0	0	4.949248831	0	8.942225478	0	8.488249618	1.163539171	0	6.689649537	0	0	3.687179255	0	0	6.608327342	0	0	8.965956817	0	0	0	0	1.193522333	1.941053261	0	0	0	0	10.07241381	0	6.845550583	5.886780118	0.935595192	8.174513095	0	8.465944685	0	0	0	2.015775926	0	1.475154939	8.928901994	6.249743877	0	0	0	0	5.644693585	0	6.123218885	0	0	0	0	0	0	2.069287618	2.131741825	0	1.666738199	0	0	5.345403796	0	6.407018442	7.220551056	0	6.521053551	2.64181159	0	4.823370018	0	0	0	0	0	0	0	0	0	6.084861164	6.245702394	0	0	0	0	6.903365345	7.029788368	0	1.842775564	0	0	8.204368814	3.560249701	0	0	0	0	0	7.998389172	0	0	0	0	0	0	9.546877176	1.66162421	0	0	0	0	0	1.359009782
FGA	0	0	0	0	0	1.32983652	0	0	0	0	0	0	0	8.693487741	0	0	0	0	0	0	1.599932536	0	0	0	0	0	0	0	0	1.69140786	0	0	0	1.428837724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.661128732	0	0	0	0	0	0	6.025067938	0	0	0	0	0	0	0	6.151289049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.394890721	0	0	0	0	0	7.517889357	0	0	0	0	0	0	0	0	0	0	1.601724485	0	0	0	0	4.362619402	0	0	0	0	0	0	0	0	0	9.078442956	0	0	0	0	0	0	0	0	0	0	0	0	0	1.991140328	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24046681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.225165969	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFC	0	0	0	0	8.671529576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.349697519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.620654712	0	0	0	0	0	6.078013745	8.57415188	0	0	6.140210167	0	0	0	7.639972508	0	6.356425654	0	0	0	0	0	3.304967814	0	0	0	0	0	0	0	0	0	8.353407787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.547763891	0	3.153550514	3.999602999	0	0	0	0	0	0	0	0	0	0	0	7.931165195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.377317416	0	0	1.661100893	0	0	0	0	6.824944564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.901868894	0	0	0	0	0	0	0	0	6.291531043	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL7R	0	0	8.890964322	10.98173606	0	0	11.77045299	2.425602133	0	8.967222737	6.872161323	0	0	0	0	9.51601808	1.612190449	1.829693315	0	0	9.372293364	2.721097601	0	0	0	1.14162412	1.848484238	0	0	0	1.349668099	8.485708577	1.488428428	0	0	1.466371011	0	0	0	1.467454797	11.62417356	9.86414558	0	3.147474363	0.961226273	0	0	0	1.949932352	0	0.895733344	0.892515274	0	10.18982698	0	2.81287564	0	6.146800715	0	0	1.695029345	7.661294044	0	10.55087401	2.03327404	0	0	1.278110802	0	0	0.789819618	8.303318146	2.889792852	1.42924056	0	0	0	0	1.361144855	1.473489282	11.18753595	0	0	9.502765102	0	1.811454494	0.757782503	10.74736951	1.715171263	7.695937355	0	10.53969008	10.68601942	0	0	0	0	11.30801519	11.71693934	0	1.681799764	9.846987218	0	0	0	2.320093615	0	9.060865464	1.632389579	2.682020998	10.03721444	2.58275398	2.028040575	1.38790674	0	0	0	0	0	9.774786716	2.050240674	10.80649175	1.301134324	0	10.96096583	0	0	1.262822522	1.687745149	0	1.473526112	11.34453976	0	0	0	0	9.764519954	2.335136393	0.986165093	0	10.58427063	0	0	0	0	9.582438621	1.387540129	3.136102448	0	6.721337457	0	2.054099418	1.149336096	0	5.216361685	10.06023569	0	1.395244174	1.089536968	8.429629407	11.71858791	4.05126678	9.042424339	9.97847206	11.21539685	10.36067621	0	1.106861516	8.966821088	1.379664601	1.699778537	11.11102785	1.068599179	0	0	0	1.498779248	10.18396645	1.108619045	0	1.368188564	11.08283409	1.310805755	0.845401316	2.724084063	0	8.787908149	10.95551079	2.487521333	8.972627334	10.15206844	8.511645078	3.140397277	0	9.469223079	0	11.87345383	8.570577229	1.620613613	0
CCL28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.32477829	0	0	0	8.838470155	0	0	0	0	0	0	0	0	0	0	0	0	10.16631505	0	0	0	9.000294085	0	6.57597812	0	0	0	0	0	0	0	0	0	0	0	2.380834514	0	0	0	0	0	5.306470156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.403570351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.432729084	0	8.299807015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.998171889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.700455619	0	0	0	0	0	0	0	0	10.22339591	0	7.455158994	0	8.042720538	0	0	0	0	0	0	0	0	0	0	0	2.710830238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0.889049469	0	0	6.083530478	0	0	0	0	0	0	0	0	0.40933804	0	2.059311706	0	0	0	0	0	0	9.819273075	0	0	0	0	0	0	5.859632832	0.641393034	0.874771021	0	0	0	0	0	0	0	5.263528132	0	0	0	0	0	0	0	1.85739152	0	0	0	0	0	0	4.790773771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.323411069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.931681932	1.962279818	0	0	0	0	0	0	0.741408677	4.639051855	0	0	0	0	0	0	0	0	5.081630829	0	0	0	0	0	0	0	0	0	2.782038549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.247713225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.691139222	0	0	0	1.042175691	0	0	3.084200218	0	0.909280516	0	0	0	0	0	0	1.193202424	0
GZMA	2.773025841	12.85736287	4.269515525	11.1634292	2.987563796	0	2.938379572	0	10.89973397	8.177389602	3.214392955	10.86661445	9.910455924	0	10.13394109	4.126289976	10.74140782	10.78007898	10.17230265	0	11.42626173	12.09844744	0	10.89509733	0	2.846597601	4.394492719	13.34612359	0	11.72086438	0	0	11.2494929	2.982453092	3.394906542	12.26429501	11.33024594	9.754804187	0	11.74266953	12.23388005	11.10746567	9.906042977	13.71686416	2.551305838	0	10.11609221	13.00147337	10.07888202	5.473987521	0	4.21622113	0	11.07732408	0	12.09134651	0	10.41751093	2.548538602	4.244825584	10.23760767	0	0	8.850095093	0	2.423399406	0	13.53758498	0	0	3.611847427	10.31035936	11.16550624	10.56772116	0	3.585398392	8.57168441	7.040417398	12.34324002	4.266429247	9.066046326	0	10.69140898	10.47635813	2.98075357	11.15596541	0	0	2.778480637	2.518395575	3.125219284	9.226321032	0	2.579204287	10.475705	11.81912677	2.896158186	9.241318242	9.820552486	0	4.565249673	11.29425825	0	12.81375066	2.964303421	10.86633743	0	0	3.558584659	4.14469629	12.26963225	13.52495314	13.06726982	0	11.16235695	0	0	2.158766863	4.279804601	9.347638798	3.554959038	11.46836949	10.52588974	1.994010199	10.28012503	13.11339516	0	2.533678049	0	10.64302911	10.06122094	11.82268747	12.13011084	0	10.13990527	3.953521611	11.55617331	4.444389216	0	8.044753592	10.40233394	13.32820716	0	10.17598727	8.271595035	10.0695121	4.137189027	2.115499105	2.763654011	11.32456529	0	0	10.73302781	3.942157913	0	11.52348704	0	10.50085204	0	6.225967619	0	0	6.440269677	11.12250847	0	5.386053846	11.88931358	2.791470752	11.94461541	12.72058154	8.682296395	11.52731444	0	3.291577862	2.399482179	12.28506332	10.80701183	0	3.686350529	0	10.62215093	11.99000229	11.24896157	10.31882067	12.5358901	0	0	3.541975293	9.775347095	11.91772076	13.04586579	0	0	12.31473728	0	12.08354748	12.02081882	0	11.45264869	13.13250729
IL6ST	1.107577885	1.063029215	0	0	4.286752722	0	1.574668433	1.077678873	0.879519611	0	10.07716305	0	0	0	3.114532577	0	0	5.536725816	0.883652411	5.896635307	0.863874543	8.264093004	3.17754592	0	6.477981929	2.703818678	0.731806723	0	0	0.926009186	0	0.50331277	0.544670557	5.744097743	0	0	0	0	0.70547808	0	0	4.606152241	1.206712857	0	4.639980847	0	0	0	0.788564428	1.655131213	0	7.416938246	0	0	0.702218287	0	8.897099588	0	0.970783828	0	3.335523122	8.722798329	0	0.858889894	1.362571319	6.258793534	1.318906091	0	6.411191293	3.994340189	0	0	0.859404227	7.702375825	0	6.64504533	0	1.197022939	0	2.205005473	0.692023658	0	0	0	0	1.185914863	0.434002596	4.415163845	7.467800672	7.534382141	0	5.600550818	0	3.150272026	0	0	2.882995568	0.330796663	0	3.922040491	8.367433662	0.592619118	0	7.914061454	0	0	4.173146519	8.712630725	8.26810012	0	3.061499795	0	0	6.146133992	0	7.040430238	1.011844745	0	5.013322549	1.777784897	6.110557113	0	5.546768916	3.97825363	0	0	6.296113244	0	3.618885798	0	0	1.886849884	0	4.745489298	0	0	3.137127068	3.791415605	5.28064312	1.515675869	0	0	4.337480878	0	0	0	2.099096282	0	7.39757815	0	0	4.524997498	0	0.774857703	5.723927427	1.109589175	1.975204282	0	1.719070494	0	3.143901572	5.072353642	0.490024018	8.045714216	0	0	0	2.896723	2.911336155	0	2.746590556	0.582455167	4.705247888	4.131689458	3.242228931	0	0	6.145013905	6.419428415	7.229437927	0	1.630339366	4.193921475	5.76629133	0	2.945776096	0	0	0	7.355480869	0	0	3.160735489	0	10.86816758	0	0	0	7.98265268	0
CD180	0	0	0	0	0	0	0	0	0	0	0	0	0	6.538669324	0	1.89400957	0	0	0	0	0	0	0	0	0	0	7.377389684	0	0	0	0	0	0	0	2.050118315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42602148	7.353260135	0	0	0	0	0	0	0	0	0	0	0	0	0	8.461217024	2.581427246	0	7.912546974	0	0	0	0	0	0	7.774022409	0	2.40905144	0	0	0	0	0	0	4.424671859	0	2.776702093	0	0	6.921030685	0	0	0	0	0	0	1.644675466	0	0	0	0	0	0	0	0	0	0	0	7.299866725	0	0	0	0	5.871167842	0	3.934067819	8.265895961	3.343263158	1.597796537	0	0	0	0	7.086277113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11233386	0	0	0	0	0	0	0	0	0	7.709559261	0	0	0	0	0	5.336432372	0	4.922891856	0	0	0	0	5.610019134	0	0	0	0	0	0	0	0	0	0	5.107166523	6.506928685	0	0	0	0	7.50185501	0	0	0	0	0	0	7.491020075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2RL2	0	0	8.337767358	0	0	0	6.8573857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666768702	0	0	0	8.325408031	0	0	0	0	0	0	4.401198332	0	0	0	0	0	0	0	0	6.787665558	0	0	0	0	0	6.600400813	0	0	0	0	0	0	0	0	1.654707956	0	0	0	0	4.230203348	0	0	0	0	0	0	0	0	0	0	5.199915228	0	0	0	0	0	0	0	0	0	0	0	1.15723682	2.776835935	0	0	1.740804991	0	0	8.202517973	0	0	3.177694947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.631486115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.385178478	0	0	0	0	0	8.036646097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.181688341	0	0	6.247515543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.337134631	0	0	8.922916579	0
