HMDB_ID	NAME	GENE_NAME
HMDB0015044	Quinidine	Slc22a5
HMDB0015044	Quinidine	Abcc2
HMDB0015044	Quinidine	Abcb11
HMDB0015044	Quinidine	Abcb1a
HMDB0015044	Quinidine	Slc22a4
HMDB0015044	Quinidine	Slc22a1
HMDB0015044	Quinidine	Slco1a5
HMDB0015044	Quinidine	Slc22a2
HMDB0015360	Paclitaxel	Abcc1
HMDB0015360	Paclitaxel	Abcb11
HMDB0015360	Paclitaxel	Abcb1a
